,Name,NameAr,LocalizedName,BusinessType,OtherTypeName,IsPopularBusiness,TotalReviews,Rating,Id,ActiveStatus,OwnerAllowStatus,CertificationStatus
2650,Matjrke,متجرك للخدمات الالكترونية ,متجرك للخدمات الالكترونية ,خدمات الأعمال,خدمات الكترونيه ,False,16,5.0,259313,0,1,2
2651,Representative and coordinator of Eastern gifts,مندوب ومنسق هدايا الشرقيه,مندوب ومنسق هدايا الشرقيه,هدايا,,False,16,5.0,235089,0,1,2
2652,Masdar Building Materials,شركة مصدر لمواد البناء,شركة مصدر لمواد البناء,خدمات الأعمال,,False,16,5.0,221906,0,1,1
2653,Olgite,أولجيت,أولجيت,خدمات الأعمال,,False,16,5.0,211148,0,1,1
2654,NOOR STORE7117,مؤسسة نور ستور للتجارة ,مؤسسة نور ستور للتجارة ,الجمال والصحة,,False,16,5.0,160890,0,1,1
2655,RedMagicKSA,متجر رد ماجيك السعودية,متجر رد ماجيك السعودية,إلكترونيات,,False,16,5.0,140256,0,1,1
2656,Sy shopping,اس واي شوبنق,اس واي شوبنق,خدمات الأعمال,,False,16,5.0,129431,0,1,2
2657,EGRAR,منصة اقرار,منصة اقرار,خدمات الأعمال,,False,16,5.0,94542,0,1,1
2658,shahad assarah honey store,متجر شهد السراة للعسل,متجر شهد السراة للعسل,أطعمة ومشروبات,,False,16,5.0,41975,0,1,1
2659,al ahmed for oud,الأحمد للعود,الأحمد للعود,خدمات الأعمال,,False,16,5.0,29717,0,1,1
2660,Virgin stone,عذراء الجنيدي,عذراء الجنيدي,هدايا,,False,16,5.0,17278,0,1,2
2661,Deem AlMarefah,ديم المعرفة,ديم المعرفة,خدمات الأعمال,,False,16,5.0,15322,0,1,1
2662,Lolaa shopping ,لوله شوبينق,لوله شوبينق,خدمات الأعمال,,False,16,5.0,11519,0,1,1
2663,DASHOP,دي إي,دي إي,إلكترونيات,بيع بطايق,False,15,5.0,316617,0,1,2
2664,ABAR REWAA,آبار رواء للمقاولات,آبار رواء للمقاولات,خدمات الأعمال,مقاولات,False,15,5.0,289734,0,1,1
2665,Social media services and Emarketing,خدمات السوشيال ميديا,خدمات السوشيال ميديا,خدمات الأعمال,,False,15,5.0,270325,0,1,2
2666,3lmsport,عالم الرياضة,عالم الرياضة,خدمات الأعمال,,False,15,5.0,265253,0,1,2
2667,H for Cakes,إتش للكيك,إتش للكيك,أطعمة ومشروبات,,False,15,5.0,253238,0,1,2
2668,Ink and Link,حبر وتواصل,حبر وتواصل,خدمات الأعمال,,False,15,5.0,242548,0,1,1
2669,stitch his,غرزه حصه,غرزه حصه,هدايا,,False,15,5.0,191929,0,1,2
2670,Beralogo,بيرا لوقو,بيرا لوقو,خدمات الأعمال,,False,15,5.0,168542,0,1,2
2671,1Rawabi Store,متجر روابي الأصلي,متجر روابي الأصلي,خدمات الأعمال,,False,15,5.0,145277,0,1,2
2672,Dallbit,دالبيت,دالبيت,هدايا,,False,15,5.0,140321,0,1,2
2673,Teraaz ,طراز للتطريز ,طراز للتطريز ,ازياء,,False,15,5.0,136688,0,1,2
2674,BlackDozer,بلاك دوزر,بلاك دوزر,منتجات رقمية,منتجات رقمية,False,15,5.0,118346,0,1,2
2675,Abo Yasser Store ,متجر أبو ياسر اللإلكتروني,متجر أبو ياسر اللإلكتروني,خدمات الأعمال,,False,15,5.0,92051,0,1,1
2676,shopwithnano,خبيرة تسوق,خبيرة تسوق,خدمات الأعمال,,False,15,5.0,91579,0,1,2
2677,KNR,كنر,كنر,خدمات الأعمال,,False,15,5.0,90467,0,1,2
2678,Muntathar Store,متجر منتظر,متجر منتظر,المنزل,,False,15,5.0,89030,0,1,1
2679,babamin tesbih,مسباح أبـي,مسباح أبـي,هدايا,,False,15,5.0,84600,0,1,2
2680,AVEN,افين,افين,خدمات الأعمال,,False,15,5.0,48778,0,1,1
2681,Aldorah yarns,خيوط الدره,خيوط الدره,هدايا,,False,15,5.0,20044,0,1,2
2682,LamsatAlreem,بوتيك لمسة الريم,بوتيك لمسة الريم,الجمال والصحة,,False,15,5.0,11874,0,1,1
2683,MISK Al RAYA FOR TOURISM,مسك الراية لتنظيم الرحلات السياحية,مسك الراية لتنظيم الرحلات السياحية,خدمات الأعمال,,False,15,5.0,11266,0,1,1
2684,la7zy,لحظي,لحظي,خدمات الأعمال,,False,14,5.0,348154,0,1,2
2685,Aloo,مركز علو للكتابة والتنسيق,مركز علو للكتابة والتنسيق,التعليم,مكتبة إلكترونية,False,14,5.0,333930,0,1,2
2686,6lack Store,طلق ستور,طلق ستور,منتجات رقمية,اكواد رقمية و حسابات وتقديم خدمات متخصصة بالالعاب,False,14,5.0,331503,0,1,2
2687,Badrah sweets ,حلويات بدره,حلويات بدره,أطعمة ومشروبات,,False,14,5.0,306729,0,1,2
2688,LINOABAYA,لينو عباية,لينو عباية,ازياء,عبايات ازياء ,False,14,5.0,306576,0,1,2
2689,Yasser  Furniture Store,متجر ياسر للأثاث,متجر ياسر للأثاث,المنزل,,False,14,5.0,296044,0,1,2
2690,Maida Ali AlQarni,معيضه علي القرني ,معيضه علي القرني ,ازياء,فساتين سهره,False,14,5.0,266598,0,1,2
